,Equiponderado,Referencia_60_40,Markowitz,Michaud_Remuestreado,Min_CVaR,Min_CDaR,HERC,Ensamble_Equal
CAGR (%),7.812984510306609,9.60348123738617,11.351252413848112,10.439929094331912,5.068035844770358,5.107655528477517,6.768194388796833,8.136861590100896
Retorno Acumulado (%),247.03166247708987,355.7032030050043,492.0007144614866,416.7640814859935,126.52551816200335,127.942478168195,195.4064456660091,264.68275156600356
Volatilidad Anual (%),9.487343583910649,9.789428309682565,17.051340192671944,13.612912329323338,5.32478218350072,6.378422605929042,7.35354663852861,8.529392131743638
Desviación a la Baja (%),10.098973943290252,10.337933135808616,18.593077958851687,14.75851767507794,5.544931077902961,6.7254739584328895,7.819373777379781,9.155518054658092
Ratio de Sharpe,0.6127093910844238,0.7767032963370994,0.5484174445048575,0.6199943766736533,0.5761805345347123,0.48721380198119923,0.6484210440461574,0.7194957735922919
Ratio de Sortino,0.575601496047898,0.7354933657917722,0.5029426776213898,0.5718683461404833,0.5533045950736433,0.4620723457832904,0.609792359918958,0.6702910259653324
Ratio de Calmar,0.3740521411941363,0.4527942634237182,0.2885116581132705,0.36620434455659,0.3103411902573706,0.2630832419966308,0.32022228823190924,0.36890481133902814
Ratio de Omega,1.1205958018320556,1.155666090244715,1.1139819317186768,1.1245052919408245,1.1068268500406502,1.0947757891579875,1.1252907933957084,1.138147958392282
Ratio Ganancia/Pérdida,1.1633751587455294,1.1994369565715797,1.137389309362058,1.1541668145473036,1.1805584024131952,1.1575551814706437,1.180687523789113,1.1858481792761841
PSR (vs 0) (%),99.30654507127709,99.9108205593658,98.63780244114542,99.36578478821309,99.01884273680606,97.56203332076274,99.54979770474674,99.80829728560774
DSR (%),94.86595515035594,99.58898630602758,94.98509143550484,97.72417350811884,96.89131935039843,92.5732609892611,98.29234193630388,99.14416385205547
Retroceso Máximo / Max DD (%),-20.887420896360013,-21.20937037667231,-39.34417239178452,-28.508479622143362,-16.33052912044115,-19.414598549545502,-21.135925379107956,-22.05680527875528
CDaR 95% (%),-14.804995932335297,-15.551876402211844,-35.64593020241508,-25.522529339367978,-12.825799113440933,-15.840775247463792,-15.386424200327717,-18.33579576787955
VaR 95% Diario (%),-0.8989354428428872,-0.9384927408701884,-1.74450947557509,-1.4054180754425583,-0.5203342243037643,-0.6109904563167129,-0.7178004870265997,-0.8556505646115009
CVaR 95% Diario (%),-1.402517167682405,-1.4715588465007492,-2.708854954349318,-2.1166068041247903,-0.7871764765568898,-0.9700838308302719,-1.0936029368441822,-1.2911815147244576
VaR 99% EVT (%),-1.5383055199510058,-1.5621396262862173,-2.868102156189077,-2.2787133294130197,-0.8339714120425789,-0.9873800482692697,-1.173767579145885,-1.387444966700923
CVaR 99% EVT (%),-1.959043780083682,-1.9790450780984077,-3.5593153421113506,-2.830199600227376,-1.045339863045529,-1.2547993019214845,-1.5267880768749666,-1.7459335301209293
Coeficiente de Asimetría,-0.5475555732942645,-0.30776331448252453,-0.5294253120167891,-0.524574707661859,-0.17342328567601178,-0.2908987610386707,-0.3683739744165527,-0.4453759162212842
Curtosis de Exceso,9.099072838329482,9.743269021514728,4.0877899570289875,4.886266215288161,3.6905248296024675,5.555536991287779,7.757124456331608,5.116558206985712
Rotación Anualizada (%),0.0,0.0,288.75334828922354,503.76399047004287,66.3696230413145,261.0167422012279,31.429575256658225,126.40625468676193
Nº Efectivo de Activos (N_eff),8.999999999999998,1.9230769230769234,1.3139121378739362,2.6535572482624814,1.8416443553852544,2.15985250748816,6.464185496928009,5.216439815815207
