,Equiponderado,Referencia_60_40,Markowitz,Michaud_Remuestreado,Min_CVaR,Min_CDaR,HERC,Ensamble_Equal
CAGR (%),7.824437405965323,9.615121309902941,11.363084175214254,10.451664968957243,5.0791969144917015,5.118824840521863,6.779536446471468,8.10886497245502
Retorno Acumulado (%),247.64190013214466,356.504325619728,493.0419818899499,417.6730889468164,126.9238435599513,128.34344008822535,195.92590982849285,263.12427317994127
Volatilidad Anual (%),9.487319307209912,9.789425712052575,17.051305392096847,13.612862944285679,5.324759683883387,6.378344435935193,7.353517462724827,8.5578523022765
Desviación a la Baja (%),10.09846708131397,10.337489464295189,18.592602361001312,14.758024128472982,5.545883075000399,6.72493676075306,7.81886962493768,9.18521266474669
Ratio de Sharpe,0.6139181382394315,0.7778925479282541,0.54911245561023,0.6208587424664426,0.5782790392985436,0.4889709033194568,0.6499660156787637,0.7138315498656109
Ratio de Sortino,0.5767645088176563,0.7366509379482247,0.5035919121711374,0.5726826908116552,0.5552221121235017,0.46377013665368894,0.6112822793754619,0.6650760516303725
Ratio de Calmar,0.37473684952014774,0.453504650427528,0.2888741640710511,0.3667140349596388,0.311238597748323,0.2637420043714998,0.320876870101959,0.36795194698023537
Ratio de Omega,1.1208216612437085,1.1558959213634468,1.1141068023108485,1.1246627125003412,1.1072092424521596,1.095103490836519,1.125581586454422,1.1373584527734864
Ratio Ganancia/Pérdida,1.1636095362656267,1.1996744325633693,1.1375164828446656,1.1543279852010577,1.1809649765973644,1.1579009952102455,1.1809917950801685,1.1849502483799437
PSR (vs 0) (%),99.31574020064123,99.91223961203912,98.64742131328691,99.3718859831463,99.04078764638395,97.6021799218452,99.55783629253322,99.79373676887481
DSR (%),94.91641032873099,99.59475688568217,95.00373645504439,97.73792076090537,96.95065269674285,92.682627666065,98.32072544777967,99.10384359088924
Retroceso Máximo / Max DD (%),-20.879818507265966,-21.201814139807766,-39.33575787836605,-28.50085890524362,-16.319302783258568,-19.408455064714023,-21.128155620307762,-22.03783683984852
CDaR 95% (%),-14.796053317390404,-15.544230661132305,-35.63565880522097,-25.513933608008433,-12.810923259745996,-15.83059920136463,-15.376580478462367,-18.280100082001468
VaR 95% Diario (%),-0.8989354428428872,-0.9384927408701884,-1.74450947557509,-1.4054180754425583,-0.5203342243037643,-0.6109904563167129,-0.7178004870265997,-0.8544275925971625
CVaR 95% Diario (%),-1.4024601501974032,-1.4715161970268427,-2.7088136444484796,-2.1165611113395877,-0.787129085141286,-0.9700322381378473,-1.093547721768703,-1.294969843465278
VaR 99% EVT (%),-1.538230137788669,-1.5623070836879511,-2.8681001933390062,-2.2786757180906894,-0.8339092357887415,-0.9872638829466136,-1.1736875861011835,-1.3899639440726466
CVaR 99% EVT (%),-1.9590475523353665,-1.9789489579109345,-3.559432322444794,-2.8301610947475995,-1.0453152279823483,-1.2546959202462966,-1.5271058274496583,-1.7486953565151864
Coeficiente de Asimetría,-0.5475268335050261,-0.30774996849076347,-0.5294234302004698,-0.5245796837586146,-0.17346255255669482,-0.2908571418200423,-0.3683508803434224,-0.45326413440821217
Curtosis de Exceso,9.098863504241669,9.742904836581037,4.087739858827055,4.886218569151486,3.69024547492807,5.554936441329495,7.756637880667467,5.291227022704666
Rotación Anualizada (%),0.0,0.0,288.75334828922354,503.76399047004287,66.3696230413145,261.0167422012279,31.429575256658225,107.64785485187912
Nº Efectivo de Activos (N_eff),8.999999999999998,1.9230769230769234,1.3139121378739362,2.6535572482624814,1.8416443553852544,2.15985250748816,6.464185496928009,5.234531866503485
