,DRO_Wasserstein,Min_CVaR_ExAnte
CAGR (%),7.45893542778977,4.581888685933855
Retorno Acumulado (%),228.65601924808095,109.7992896863627
Volatilidad Anual (%),8.914562507751853,5.32254060458057
Desviación a la Baja (%),9.523376078659986,5.552942388336801
Ratio de Sharpe,0.6123615626726306,0.48508576594265634
Ratio de Sortino,0.5732143078988733,0.46495866612208336
Ratio de Calmar,0.356461486575358,0.2577068102491852
Ratio de Omega,1.1196442510423334,1.0914893217378652
Ratio Ganancia/Pérdida,1.1649804393515928,1.1652987487838637
PSR (vs 0) (%),99.30277437933003,97.52655097540779
DSR (%),98.47510118216786,96.64178986862379
Retroceso Máximo / Max DD (%),-20.924940586008887,-17.77946295444609
CDaR 95% (%),-14.901095455413667,-12.779088091609255
VaR 95% Diario (%),-0.8618440785424799,-0.524208796615382
CVaR 95% Diario (%),-1.3124839946290177,-0.7905258153617583
VaR 99% EVT (%),-1.444423629995891,-0.8288705512107825
CVaR 99% EVT (%),-1.8428708054585012,-1.0545105955499352
Coeficiente de Asimetría,-0.5593117393692097,-0.2182955517864299
Curtosis de Exceso,9.15705422054575,4.524013994778564
Rotación Anualizada (%),3.7668681061321743,412.99679886694076
Nº Efectivo de Activos (N_eff),8.916170717622476,1.9281803632124344
